run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14180104	SAMN18651797	SRX10548122	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/004/SRR14180104/SRR14180104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/004/SRR14180104/SRR14180104_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/004/SRR14180104	
SRR14180114	SAMN18651788	SRX10548112	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/014/SRR14180114/SRR14180114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/014/SRR14180114/SRR14180114_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/014/SRR14180114	
SRR14180120	SAMN18651783	SRX10548106	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14180120/SRR14180120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14180120/SRR14180120_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/020/SRR14180120	
SRR14180128	SAMN18651851	SRX10548098	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14180128/SRR14180128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14180128/SRR14180128_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/028/SRR14180128	
SRR14180129	SAMN18651850	SRX10548097	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14180129/SRR14180129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14180129/SRR14180129_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/029/SRR14180129	
SRR14180130	SAMN18651849	SRX10548096	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/030/SRR14180130/SRR14180130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/030/SRR14180130/SRR14180130_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/030/SRR14180130	
SRR14180134	SAMN18651845	SRX10548092	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/034/SRR14180134/SRR14180134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/034/SRR14180134/SRR14180134_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/034/SRR14180134	
SRR14180136	SAMN18651763	SRX10548090	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/036/SRR14180136/SRR14180136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/036/SRR14180136/SRR14180136_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/036/SRR14180136	
SRR14180139	SAMN18651841	SRX10548087	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14180139/SRR14180139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14180139/SRR14180139_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/039/SRR14180139	
SRR14180140	SAMN18651840	SRX10548086	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/040/SRR14180140/SRR14180140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/040/SRR14180140/SRR14180140_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/040/SRR14180140	
